Date,Close,Open,High,Low,Volume,Change
22-06-2020,10311.20,10318.75,10393.65,10277.60,685.39M,+0.65%
19-06-2020,10244.40,10119.00,10272.40,10072.65,892.10M,+1.51%
18-06-2020,10091.65,9863.25,10111.20,9845.05,622.90M,+2.13%
17-06-2020,9881.15,9876.70,10003.60,9833.80,685.42M,-0.33%
16-06-2020,9914.00,10014.80,10046.15,9728.50,899.89M,+1.02%
15-06-2020,9813.70,9919.35,9943.35,9726.35,716.05M,-1.60%
12-06-2020,9972.90,9544.95,9996.05,9544.35,796.31M,+0.72%
11-06-2020,9902.00,10094.10,10112.05,9885.05,715.45M,-2.12%
10-06-2020,10116.15,10072.60,10148.75,10036.85,632.38M,+0.69%
09-06-2020,10046.65,10181.15,10291.15,10021.45,754.22M,-1.19%
08-06-2020,10167.45,10326.75,10328.50,10120.25,936.49M,+0.25%
05-06-2020,10142.15,10093.80,10177.80,10040.75,987.12M,+1.13%
04-06-2020,10029.10,10054.25,10123.85,9944.25,775.11M,-0.32%
03-06-2020,10061.55,10108.30,10176.20,10035.55,794.66M,+0.83%
02-06-2020,9979.10,9880.85,9995.60,9824.05,770.19M,+1.56%
01-06-2020,9826.15,9726.85,9931.60,9706.95,794.18M,+2.57%
29-05-2020,9580.30,9422.20,9598.85,9376.90,967.00M,+0.95%
28-05-2020,9490.10,9364.95,9511.25,9336.50,837.91M,+1.88%
27-05-2020,9314.95,9082.20,9334.00,9004.25,763.49M,+3.17%
26-05-2020,9029.05,9099.75,9161.65,8996.65,654.96M,-0.11%
22-05-2020,9039.25,9067.90,9149.60,8968.55,675.76M,-0.74%
21-05-2020,9106.25,9079.45,9178.55,9056.10,631.54M,+0.44%
